omega*t					L0					Lprime					( Lprime - L0 ) / L0					dL_h/L0					dL_f/L0					dL_n/L0					dL_s/L0					v_RV_avg
0					8.16395e+32					8.16399e+32					4.31669e-06					2.91763e-08					4.32641e-06					-7.29408e-09					-3.16077e-08					0.836742
0.00628319					8.16395e+32					8.16398e+32					4.0631e-06					2.87863e-08					4.07269e-06					-7.19659e-09					-3.11852e-08					0.962997
0.0125664					8.16395e+32					8.16398e+32					3.80886e-06					2.83918e-08					3.81832e-06					-7.09796e-09					-3.07578e-08					1.0891
0.0188496					8.16395e+32					8.16398e+32					3.55403e-06					2.79928e-08					3.56336e-06					-6.9982e-09					-3.03256e-08					1.21503
0.0251327					8.16395e+32					8.16398e+32					3.29863e-06					2.75894e-08					3.30782e-06					-6.89735e-09					-2.98885e-08					1.34077
0.0314159					8.16395e+32					8.16398e+32					3.04271e-06					2.71816e-08					3.05177e-06					-6.7954e-09					-2.94467e-08					1.46629
0.0376991					8.16395e+32					8.16397e+32					2.78631e-06					2.67695e-08					2.79524e-06					-6.69238e-09					-2.90003e-08					1.59159
0.0439823					8.16395e+32					8.16397e+32					2.52947e-06					2.63532e-08					2.53826e-06					-6.58831e-09					-2.85493e-08					1.71663
0.0502655					8.16395e+32					8.16397e+32					2.27224e-06					2.59328e-08					2.28088e-06					-6.48319e-09					-2.80938e-08					1.84141
0.0565487					8.16395e+32					8.16397e+32					2.01464e-06					2.55082e-08					2.02314e-06					-6.37705e-09					-2.76339e-08					1.96589
0.0628319					8.16395e+32					8.16396e+32					1.75673e-06					2.50796e-08					1.76509e-06					-6.2699e-09					-2.71696e-08					2.09006
0.069115					8.16395e+32					8.16396e+32					1.49853e-06					2.46471e-08					1.50675e-06					-6.16177e-09					-2.6701e-08					2.2139
0.0753982					8.16395e+32					8.16396e+32					1.24011e-06					2.42106e-08					1.24818e-06					-6.05266e-09					-2.62282e-08					2.33739
0.0816814					8.16395e+32					8.16396e+32					9.81481e-07					2.37704e-08					9.89404e-07					-5.94259e-09					-2.57512e-08					2.46052
0.0879646					8.16395e+32					8.16396e+32					7.22701e-07					2.33263e-08					7.30477e-07					-5.83159e-09					-2.52702e-08					2.58325
0.0942478					8.16395e+32					8.16395e+32					4.63808e-07					2.28786e-08					4.71434e-07					-5.71966e-09					-2.47852e-08					2.70558
